GS-V6,#genre#
CCTV1,http://[2409:8087:74f0:22::4]:6410/270000001128/9900000501/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
CCTV2,http://[2409:8087:74f0:22::4]:6410/270000001128/9900000502/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
CCTV4,http://[2409:8087:74f0:22::4]:6410/270000001128/9900000503/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
CCTV7,http://[2409:8087:74f0:22::4]:6410/270000001128/9900000504/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
CCTV9,http://[2409:8087:74f0:22::4]:6410/270000001128/9900000505/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
CCTV10,http://[2409:8087:74f0:22::4]:6410/270000001128/9900000506/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
CCTV5+,http://[2409:8087:74f0:22::4]:6410/270000001128/9900000507/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
CCTV11,http://[2409:8087:74f0:22::4]:6410/270000001128/9900000508/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
CCTV12,http://[2409:8087:74f0:22::4]:6410/270000001128/9900000509/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
CCTV13,http://[2409:8087:74f0:22::4]:6410/270000001128/9900000510/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
CCTV14,http://[2409:8087:74f0:22::4]:6410/270000001128/9900000511/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
CCTV15,http://[2409:8087:74f0:22::4]:6410/270000001128/9900000512/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
CCTV17,http://[2409:8087:74f0:22::4]:6410/270000001128/9900000513/1.m3u8?channel-id=newtv&livemode=4&Contentid=0

精品大剧,http://[2409:8087:74f0:22::4]:6410/270000001128/9900000100/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
中国功夫,http://[2409:8087:74f0:22::4]:6410/270000001128/9900000101/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
精品体育,http://[2409:8087:74f0:22::4]:6410/270000001128/9900000102/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
怡伴健康,http://[2409:8087:74f0:22::4]:6410/270000001128/9900000103/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
爱情喜剧,http://[2409:8087:74f0:22::4]:6410/270000001128/9900000104/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
古装剧场,http://[2409:8087:74f0:22::4]:6410/270000001128/9900000105/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
动作电影,http://[2409:8087:74f0:22::4]:6410/270000001128/9900000106/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
军旅剧场,http://[2409:8087:74f0:22::4]:6410/270000001128/9900000107/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
家庭剧场,http://[2409:8087:74f0:22::4]:6410/270000001128/9900000108/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
精品记录,http://[2409:8087:74f0:22::4]:6410/270000001128/9900000109/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
军事评论,http://[2409:8087:74f0:22::4]:6410/270000001128/9900000110/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
农业致富,http://[2409:8087:74f0:22::4]:6410/270000001128/9900000111/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
金牌综艺,http://[2409:8087:74f0:22::4]:6410/270000001128/9900000112/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
惊悚悬疑,http://[2409:8087:74f0:22::4]:6410/270000001128/9900000113/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
海外剧场,http://[2409:8087:74f0:22::4]:6410/270000001128/9900000115/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
晴彩篮球,http://[2409:8087:74f0:22::4]:6410/270000001128/9900000118/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
晴彩竞技,http://[2409:8087:74f0:22::4]:6410/270000001128/9900000119/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
精品萌宠,http://[2409:8087:74f0:22::4]:6410/270000001128/9900000122/1.m3u8?channel-id=newtv&livemode=4&Contentid=0

安徽卫视,http://[2409:8087:74f0:22::4]:6410/270000001128/9900000514/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
北京纪实,http://[2409:8087:74f0:22::4]:6410/270000001128/9900000515/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
北京卫视,http://[2409:8087:74f0:22::4]:6410/270000001128/9900000516/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
重庆卫视,http://[2409:8087:74f0:22::4]:6410/270000001128/9900000517/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
东方卫视,http://[2409:8087:74f0:22::4]:6410/270000001128/9900000518/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
东南卫视,http://[2409:8087:74f0:22::4]:6410/270000001128/9900000519/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
广东卫视,http://[2409:8087:74f0:22::4]:6410/270000001128/9900000520/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
龙江卫视,http://[2409:8087:74f0:22::4]:6410/270000001128/9900000521/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
湖北卫视,http://[2409:8087:74f0:22::4]:6410/270000001128/9900000522/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
湖南卫视,http://[2409:8087:74f0:22::4]:6410/270000001128/9900000523/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
江苏卫视,http://[2409:8087:74f0:22::4]:6410/270000001128/9900000524/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
江西卫视,http://[2409:8087:74f0:22::4]:6410/270000001128/9900000525/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
辽宁卫视,http://[2409:8087:74f0:22::4]:6410/270000001128/9900000526/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
山东卫视,http://[2409:8087:74f0:22::4]:6410/270000001128/9900000527/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
纪实人文,http://[2409:8087:74f0:22::4]:6410/270000001128/9900000528/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
深圳卫视,http://[2409:8087:74f0:22::4]:6410/270000001128/9900000529/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
天津卫视,http://[2409:8087:74f0:22::4]:6410/270000001128/9900000530/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
浙江卫视,http://[2409:8087:74f0:22::4]:6410/270000001128/9900000531/1.m3u8?channel-id=newtv&livemode=4&Contentid=0


CCTV1,http://[2409:8087:74f0:22::5]:6410/270000001128/9900000501/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
CCTV2,http://[2409:8087:74f0:22::5]:6410/270000001128/9900000502/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
CCTV4,http://[2409:8087:74f0:22::5]:6410/270000001128/9900000503/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
CCTV7,http://[2409:8087:74f0:22::5]:6410/270000001128/9900000504/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
CCTV9,http://[2409:8087:74f0:22::5]:6410/270000001128/9900000505/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
CCTV10,http://[2409:8087:74f0:22::5]:6410/270000001128/9900000506/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
CCTV5+,http://[2409:8087:74f0:22::5]:6410/270000001128/9900000507/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
CCTV11,http://[2409:8087:74f0:22::5]:6410/270000001128/9900000508/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
CCTV12,http://[2409:8087:74f0:22::5]:6410/270000001128/9900000509/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
CCTV13,http://[2409:8087:74f0:22::5]:6410/270000001128/9900000510/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
CCTV14,http://[2409:8087:74f0:22::5]:6410/270000001128/9900000511/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
CCTV15,http://[2409:8087:74f0:22::5]:6410/270000001128/9900000512/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
CCTV17,http://[2409:8087:74f0:22::5]:6410/270000001128/9900000513/1.m3u8?channel-id=newtv&livemode=4&Contentid=0

精品大剧,http://[2409:8087:74f0:22::5]:6410/270000001128/9900000100/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
中国功夫,http://[2409:8087:74f0:22::5]:6410/270000001128/9900000101/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
精品体育,http://[2409:8087:74f0:22::5]:6410/270000001128/9900000102/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
怡伴健康,http://[2409:8087:74f0:22::5]:6410/270000001128/9900000103/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
爱情喜剧,http://[2409:8087:74f0:22::5]:6410/270000001128/9900000104/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
古装剧场,http://[2409:8087:74f0:22::5]:6410/270000001128/9900000105/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
动作电影,http://[2409:8087:74f0:22::5]:6410/270000001128/9900000106/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
军旅剧场,http://[2409:8087:74f0:22::5]:6410/270000001128/9900000107/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
家庭剧场,http://[2409:8087:74f0:22::5]:6410/270000001128/9900000108/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
精品记录,http://[2409:8087:74f0:22::5]:6410/270000001128/9900000109/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
军事评论,http://[2409:8087:74f0:22::5]:6410/270000001128/9900000110/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
农业致富,http://[2409:8087:74f0:22::5]:6410/270000001128/9900000111/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
金牌综艺,http://[2409:8087:74f0:22::5]:6410/270000001128/9900000112/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
惊悚悬疑,http://[2409:8087:74f0:22::5]:6410/270000001128/9900000113/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
海外剧场,http://[2409:8087:74f0:22::5]:6410/270000001128/9900000115/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
晴彩篮球,http://[2409:8087:74f0:22::5]:6410/270000001128/9900000118/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
晴彩竞技,http://[2409:8087:74f0:22::5]:6410/270000001128/9900000119/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
精品萌宠,http://[2409:8087:74f0:22::5]:6410/270000001128/9900000122/1.m3u8?channel-id=newtv&livemode=4&Contentid=0

安徽卫视,http://[2409:8087:74f0:22::5]:6410/270000001128/9900000514/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
北京纪实,http://[2409:8087:74f0:22::5]:6410/270000001128/9900000515/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
北京卫视,http://[2409:8087:74f0:22::5]:6410/270000001128/9900000516/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
重庆卫视,http://[2409:8087:74f0:22::5]:6410/270000001128/9900000517/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
东方卫视,http://[2409:8087:74f0:22::5]:6410/270000001128/9900000518/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
东南卫视,http://[2409:8087:74f0:22::5]:6410/270000001128/9900000519/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
广东卫视,http://[2409:8087:74f0:22::5]:6410/270000001128/9900000520/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
龙江卫视,http://[2409:8087:74f0:22::5]:6410/270000001128/9900000521/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
湖北卫视,http://[2409:8087:74f0:22::5]:6410/270000001128/9900000522/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
湖南卫视,http://[2409:8087:74f0:22::5]:6410/270000001128/9900000523/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
江苏卫视,http://[2409:8087:74f0:22::5]:6410/270000001128/9900000524/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
江西卫视,http://[2409:8087:74f0:22::5]:6410/270000001128/9900000525/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
辽宁卫视,http://[2409:8087:74f0:22::5]:6410/270000001128/9900000526/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
山东卫视,http://[2409:8087:74f0:22::5]:6410/270000001128/9900000527/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
纪实人文,http://[2409:8087:74f0:22::5]:6410/270000001128/9900000528/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
深圳卫视,http://[2409:8087:74f0:22::5]:6410/270000001128/9900000529/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
天津卫视,http://[2409:8087:74f0:22::5]:6410/270000001128/9900000530/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
浙江卫视,http://[2409:8087:74f0:22::5]:6410/270000001128/9900000531/1.m3u8?channel-id=newtv&livemode=4&Contentid=0


CCTV1,http://[2409:8087:74f0:22::6]:6410/270000001128/9900000501/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
CCTV2,http://[2409:8087:74f0:22::6]:6410/270000001128/9900000502/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
CCTV4,http://[2409:8087:74f0:22::6]:6410/270000001128/9900000503/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
CCTV7,http://[2409:8087:74f0:22::6]:6410/270000001128/9900000504/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
CCTV9,http://[2409:8087:74f0:22::6]:6410/270000001128/9900000505/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
CCTV10,http://[2409:8087:74f0:22::6]:6410/270000001128/9900000506/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
CCTV5+,http://[2409:8087:74f0:22::6]:6410/270000001128/9900000507/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
CCTV11,http://[2409:8087:74f0:22::6]:6410/270000001128/9900000508/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
CCTV12,http://[2409:8087:74f0:22::6]:6410/270000001128/9900000509/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
CCTV13,http://[2409:8087:74f0:22::6]:6410/270000001128/9900000510/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
CCTV14,http://[2409:8087:74f0:22::6]:6410/270000001128/9900000511/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
CCTV15,http://[2409:8087:74f0:22::6]:6410/270000001128/9900000512/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
CCTV17,http://[2409:8087:74f0:22::6]:6410/270000001128/9900000513/1.m3u8?channel-id=newtv&livemode=4&Contentid=0

精品大剧,http://[2409:8087:74f0:22::6]:6410/270000001128/9900000100/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
中国功夫,http://[2409:8087:74f0:22::6]:6410/270000001128/9900000101/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
精品体育,http://[2409:8087:74f0:22::6]:6410/270000001128/9900000102/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
怡伴健康,http://[2409:8087:74f0:22::6]:6410/270000001128/9900000103/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
爱情喜剧,http://[2409:8087:74f0:22::6]:6410/270000001128/9900000104/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
古装剧场,http://[2409:8087:74f0:22::6]:6410/270000001128/9900000105/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
动作电影,http://[2409:8087:74f0:22::6]:6410/270000001128/9900000106/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
军旅剧场,http://[2409:8087:74f0:22::6]:6410/270000001128/9900000107/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
家庭剧场,http://[2409:8087:74f0:22::6]:6410/270000001128/9900000108/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
精品记录,http://[2409:8087:74f0:22::6]:6410/270000001128/9900000109/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
军事评论,http://[2409:8087:74f0:22::6]:6410/270000001128/9900000110/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
农业致富,http://[2409:8087:74f0:22::6]:6410/270000001128/9900000111/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
金牌综艺,http://[2409:8087:74f0:22::6]:6410/270000001128/9900000112/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
惊悚悬疑,http://[2409:8087:74f0:22::6]:6410/270000001128/9900000113/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
海外剧场,http://[2409:8087:74f0:22::6]:6410/270000001128/9900000115/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
晴彩篮球,http://[2409:8087:74f0:22::6]:6410/270000001128/9900000118/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
晴彩竞技,http://[2409:8087:74f0:22::6]:6410/270000001128/9900000119/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
精品萌宠,http://[2409:8087:74f0:22::6]:6410/270000001128/9900000122/1.m3u8?channel-id=newtv&livemode=4&Contentid=0

安徽卫视,http://[2409:8087:74f0:22::6]:6410/270000001128/9900000514/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
北京纪实,http://[2409:8087:74f0:22::6]:6410/270000001128/9900000515/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
北京卫视,http://[2409:8087:74f0:22::6]:6410/270000001128/9900000516/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
重庆卫视,http://[2409:8087:74f0:22::6]:6410/270000001128/9900000517/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
东方卫视,http://[2409:8087:74f0:22::6]:6410/270000001128/9900000518/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
东南卫视,http://[2409:8087:74f0:22::6]:6410/270000001128/9900000519/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
广东卫视,http://[2409:8087:74f0:22::6]:6410/270000001128/9900000520/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
龙江卫视,http://[2409:8087:74f0:22::6]:6410/270000001128/9900000521/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
湖北卫视,http://[2409:8087:74f0:22::6]:6410/270000001128/9900000522/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
湖南卫视,http://[2409:8087:74f0:22::6]:6410/270000001128/9900000523/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
江苏卫视,http://[2409:8087:74f0:22::6]:6410/270000001128/9900000524/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
江西卫视,http://[2409:8087:74f0:22::6]:6410/270000001128/9900000525/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
辽宁卫视,http://[2409:8087:74f0:22::6]:6410/270000001128/9900000526/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
山东卫视,http://[2409:8087:74f0:22::6]:6410/270000001128/9900000527/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
纪实人文,http://[2409:8087:74f0:22::6]:6410/270000001128/9900000528/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
深圳卫视,http://[2409:8087:74f0:22::6]:6410/270000001128/9900000529/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
天津卫视,http://[2409:8087:74f0:22::6]:6410/270000001128/9900000530/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
浙江卫视,http://[2409:8087:74f0:22::6]:6410/270000001128/9900000531/1.m3u8?channel-id=newtv&livemode=4&Contentid=0


CCTV1,http://[2409:8087:74f0:22::7]:6410/270000001128/9900000501/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
CCTV2,http://[2409:8087:74f0:22::7]:6410/270000001128/9900000502/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
CCTV4,http://[2409:8087:74f0:22::7]:6410/270000001128/9900000503/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
CCTV7,http://[2409:8087:74f0:22::7]:6410/270000001128/9900000504/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
CCTV9,http://[2409:8087:74f0:22::7]:6410/270000001128/9900000505/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
CCTV10,http://[2409:8087:74f0:22::7]:6410/270000001128/9900000506/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
CCTV5+,http://[2409:8087:74f0:22::7]:6410/270000001128/9900000507/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
CCTV11,http://[2409:8087:74f0:22::7]:6410/270000001128/9900000508/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
CCTV12,http://[2409:8087:74f0:22::7]:6410/270000001128/9900000509/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
CCTV13,http://[2409:8087:74f0:22::7]:6410/270000001128/9900000510/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
CCTV14,http://[2409:8087:74f0:22::7]:6410/270000001128/9900000511/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
CCTV15,http://[2409:8087:74f0:22::7]:6410/270000001128/9900000512/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
CCTV17,http://[2409:8087:74f0:22::7]:6410/270000001128/9900000513/1.m3u8?channel-id=newtv&livemode=4&Contentid=0

精品大剧,http://[2409:8087:74f0:22::7]:6410/270000001128/9900000100/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
中国功夫,http://[2409:8087:74f0:22::7]:6410/270000001128/9900000101/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
精品体育,http://[2409:8087:74f0:22::7]:6410/270000001128/9900000102/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
怡伴健康,http://[2409:8087:74f0:22::7]:6410/270000001128/9900000103/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
爱情喜剧,http://[2409:8087:74f0:22::7]:6410/270000001128/9900000104/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
古装剧场,http://[2409:8087:74f0:22::7]:6410/270000001128/9900000105/1.m3u8?channel-id=newtv&livemode=4&Contentid=0
